lganame,statename,num_health_facilities,longitude,population,lgaarea,popdensity,Facilities_per_10k_people,water_per_lga,NEAR_DIST_Health,NEAR_DIST_Water,Case,Year
Iwajowa,Oyo,31,2.7241163,104129.3148,2525.466553,41.2317123,2.9770675,1,2657.5254175104046,23303.727830075244,0.0,2024.0
Iwajowa,Oyo,31,2.7241163,104129.3148,2525.466553,41.2317123,2.9770675,1,2657.5254175104046,23303.727830075244,0.0,2023.0
Iwajowa,Oyo,31,2.7241163,104129.3148,2525.466553,41.2317123,2.9770675,1,2657.5254175104046,23303.727830075244,0.0,2022.0
Iwajowa,Oyo,31,2.7241163,104129.3148,2525.466553,41.2317123,2.9770675,1,2657.5254175104046,23303.727830075244,0.0,2021.0
Ibarapa North,Oyo,30,3.2817733,83844.02481,1260.41919,66.5207443,3.5780725,2,3391.1531039117745,2892.6489242649764,0.0,2025.0
Ibarapa North,Oyo,30,3.2817733,83844.02481,1260.41919,66.5207443,3.5780725,2,3391.1531039117745,2892.6489242649764,0.0,2024.0
Ibarapa North,Oyo,30,3.2817733,83844.02481,1260.41919,66.5207443,3.5780725,2,3391.1531039117745,2892.6489242649764,0.0,2023.0
Ibarapa North,Oyo,30,3.2817733,83844.02481,1260.41919,66.5207443,3.5780725,2,3391.1531039117745,2892.6489242649764,0.0,2022.0
Ibarapa North,Oyo,30,3.2817733,83844.02481,1260.41919,66.5207443,3.5780725,2,3391.1531039117745,2892.6489242649764,0.0,2021.0
Okrika,Rivers,34,7.11608,180151.76,607.9611206,296.3211975,1.8872976,157,5290.5043844191005,511.66301805917897,0.0,2025.0
Okrika,Rivers,34,7.11608,180151.76,607.9611206,296.3211975,1.8872976,157,5290.5043844191005,511.66301805917897,0.0,2024.0
Okrika,Rivers,34,7.11608,180151.76,607.9611206,296.3211975,1.8872976,157,5290.5043844191005,511.66301805917897,0.0,2023.0
Okrika,Rivers,34,7.11608,180151.76,607.9611206,296.3211975,1.8872976,157,5290.5043844191005,511.66301805917897,0.0,2022.0
Okrika,Rivers,34,7.11608,180151.76,607.9611206,296.3211975,1.8872976,157,5290.5043844191005,511.66301805917897,0.0,2021.0
Imeko Afon,Ogun,40,2.832913333,125031.4394,1899.999634,65.8060303,3.1991954,0,1048.1641063786346,11767.039683964029,0.0,2025.0
Imeko Afon,Ogun,40,2.832913333,125031.4394,1899.999634,65.8060303,3.1991954,0,1048.1641063786346,11767.039683964029,0.0,2024.0
Imeko Afon,Ogun,40,2.832913333,125031.4394,1899.999634,65.8060303,3.1991954,0,1048.1641063786346,11767.039683964029,0.0,2023.0
Imeko Afon,Ogun,40,2.832913333,125031.4394,1899.999634,65.8060303,3.1991954,0,1048.1641063786346,11767.039683964029,0.0,2022.0
Imeko Afon,Ogun,40,2.832913333,125031.4394,1899.999634,65.8060303,3.1991954,0,1048.1641063786346,11767.039683964029,0.0,2021.0
Ibeno,Akwa Ibom,23,7.91867,92166.67022000001,266.9259338,345.2893066,2.4954791,15,4159.596601640631,1322.104974829591,0.0,2025.0
Ibeno,Akwa Ibom,23,7.91867,92166.67022000001,266.9259338,345.2893066,2.4954791,15,4159.596601640631,1322.104974829591,0.0,2024.0
Ibeno,Akwa Ibom,23,7.91867,92166.67022000001,266.9259338,345.2893066,2.4954791,15,4159.596601640631,1322.104974829591,0.0,2023.0
Ibeno,Akwa Ibom,23,7.91867,92166.67022000001,266.9259338,345.2893066,2.4954791,15,4159.596601640631,1322.104974829591,0.0,2022.0
Ibeno,Akwa Ibom,23,7.91867,92166.67022000001,266.9259338,345.2893066,2.4954791,15,4159.596601640631,1322.104974829591,0.0,2021.0
Nembe,Bayelsa,26,6.405801667,64903.99739,836.6606445,77.575058,4.0059166,229,4228.10321916484,249.39236825289848,208.0,2025.0
Nembe,Bayelsa,26,6.405801667,64903.99739,836.6606445,77.575058,4.0059166,229,4228.10321916484,249.39236825289848,54.0,2024.0
Nembe,Bayelsa,26,6.405801667,64903.99739,836.6606445,77.575058,4.0059166,229,4228.10321916484,249.39236825289848,0.0,2024.0
Nembe,Bayelsa,26,6.405801667,64903.99739,836.6606445,77.575058,4.0059166,229,4228.10321916484,249.39236825289848,30.0,2023.0
Nembe,Bayelsa,26,6.405801667,64903.99739,836.6606445,77.575058,4.0059166,229,4228.10321916484,249.39236825289848,0.0,2021.0
Ilaje,Ondo,73,4.783508301,317629.275,1354.62085,234.478363,2.2982769,152,2713.516406717005,3230.3922927338585,0.0,2025.0
Ilaje,Ondo,73,4.783508301,317629.275,1354.62085,234.478363,2.2982769,152,2713.516406717005,3230.3922927338585,0.0,2024.0
Ilaje,Ondo,73,4.783508301,317629.275,1354.62085,234.478363,2.2982769,152,2713.516406717005,3230.3922927338585,0.0,2023.0
Ilaje,Ondo,73,4.783508301,317629.275,1354.62085,234.478363,2.2982769,152,2713.516406717005,3230.3922927338585,0.0,2022.0
Ilaje,Ondo,73,4.783508301,317629.275,1354.62085,234.478363,2.2982769,152,2713.516406717005,3230.3922927338585,0.0,2021.0
Brass,Bayelsa,39,6.29569,132042.9675,1313.634399,100.5172882,2.953584,489,2852.022631767404,1639.2100183942916,51.0,2025.0
Brass,Bayelsa,39,6.29569,132042.9675,1313.634399,100.5172882,2.953584,489,2852.022631767404,1639.2100183942916,0.0,2024.0
Brass,Bayelsa,39,6.29569,132042.9675,1313.634399,100.5172882,2.953584,489,2852.022631767404,1639.2100183942916,0.0,2023.0
Brass,Bayelsa,39,6.29569,132042.9675,1313.634399,100.5172882,2.953584,489,2852.022631767404,1639.2100183942916,0.0,2022.0
Brass,Bayelsa,39,6.29569,132042.9675,1313.634399,100.5172882,2.953584,489,2852.022631767404,1639.2100183942916,0.0,2021.0
Warri North,Delta,28,5.4637559,118901.4598,2193.709473,54.2010956,2.3548913,342,5439.711500416174,289.08918285521906,0.0,2025.0
Warri North,Delta,28,5.4637559,118901.4598,2193.709473,54.2010956,2.3548913,342,5439.711500416174,289.08918285521906,0.0,2024.0
Warri North,Delta,28,5.4637559,118901.4598,2193.709473,54.2010956,2.3548913,342,5439.711500416174,289.08918285521906,0.0,2023.0
Warri North,Delta,28,5.4637559,118901.4598,2193.709473,54.2010956,2.3548913,342,5439.711500416174,289.08918285521906,0.0,2022.0
Warri North,Delta,28,5.4637559,118901.4598,2193.709473,54.2010956,2.3548913,342,5439.711500416174,289.08918285521906,0.0,2021.0
Ese Odo,Ondo,37,4.863031,109320.4341,762.8925171,143.2973022,3.3845456,12,4752.918846293029,559.281568471506,0.0,2025.0
Ese Odo,Ondo,37,4.863031,109320.4341,762.8925171,143.2973022,3.3845456,12,4752.918846293029,559.281568471506,0.0,2024.0
Ese Odo,Ondo,37,4.863031,109320.4341,762.8925171,143.2973022,3.3845456,12,4752.918846293029,559.281568471506,0.0,2023.0
Ese Odo,Ondo,37,4.863031,109320.4341,762.8925171,143.2973022,3.3845456,12,4752.918846293029,559.281568471506,0.0,2022.0
Ese Odo,Ondo,37,4.863031,109320.4341,762.8925171,143.2973022,3.3845456,12,4752.918846293029,559.281568471506,0.0,2021.0
Jalingo,Taraba,81,11.35772705,308168.5003,263.6205139,1168.98523,2.6284323,1,3367.7269822667586,2641.1390273575275,0.0,2025.0
Jalingo,Taraba,81,11.35772705,308168.5003,263.6205139,1168.98523,2.6284323,1,3367.7269822667586,2641.1390273575275,0.0,2024.0
Jalingo,Taraba,81,11.35772705,308168.5003,263.6205139,1168.98523,2.6284323,1,3367.7269822667586,2641.1390273575275,0.0,2023.0
Jalingo,Taraba,81,11.35772705,308168.5003,263.6205139,1168.98523,2.6284323,1,3367.7269822667586,2641.1390273575275,0.0,2022.0
