lganame,statename,num_health_facilities,longitude,population,lgaarea,popdensity,Facilities_per_10k_people,water_per_lga,NEAR_DIST_Health,NEAR_DIST_Water
Machina,Yobe,28,9.899475098000000,127523.778300000005402,1357.099731,93.9678726,2.1956689,26,2929.895325983255589,12604.956745252522524
Ibaji,Kogi,97,6.756896973000000,130277.193299999998999,1346.277588,96.7684479,7.4456625,17,344.835335651264188,2456.773822893102988
Municipal Area Council,Fct,248,7.425986700000000,2125558.729999999981374,1475.68103,1440.391724,1.1667521,43,2111.241084301559113,1531.605682349771314
Kaiama,Kwara,71,4.697788333330000,356081.537899999995716,7863.589356,45.2823143,1.9939253,0,5949.417105739604267,25839.580071603646502
Bakura,Zamfara,34,5.805130000000000,122343.152100000006612,1780.421387,68.7158432,2.7790685,5,3498.780720388568625,10231.191179906745674
Nguru,Yobe,35,10.301222140000000,253951.167300000000978,723.2785034,351.1111755,1.3782177,28,3643.065844829808157,2019.073624118487260
Gummi,Zamfara,56,5.107086667000000,254442.192399999999907,2943.165772,86.4518738,2.2008929,194,6726.387415126051565,536.751250141525929
Ajingi,Kano,31,8.930938069000000,336338.300800000026356,625.7438354,537.5015869,0.9216911,1,511.623172860983743,10508.268757110397928
Port-Harcourt,Rivers,64,7.035095215000000,545536.606400000047870,72.2643509,7549.180176,1.1731569,59,671.219792374516146,159.287611860693033
Augie,Kebbi,51,4.600100000000000,118562.600399999995716,950.6466064,124.7178497,4.3015251,0,2601.939924081101253,1979.704446382356991
Kebbe,Sokoto,30,4.765668000250000,85299.183460000000196,2200.839356,38.7575684,3.5170324,7,13130.338451680832804,16683.038864226087753
Surulere,Oyo,52,4.395601667000000,283385.377399999997579,849.7394409,333.4967957,1.8349571,0,1745.807227851030348,8180.462171097346072
Ringim,Jigawa,33,8.972883700000001,517139.791399999987334,1027.92688,503.0900574,0.6381253,1,3253.461830425802873,6687.264388292725016
Emuoha,Rivers,32,6.730792969000000,344085.434699999983422,778.3917236,442.0466309,0.9300016,9,876.536164534615978,893.482716885647619
Isi-Uzo,Enugu,66,7.770085000000000,190013.028499999985797,825.8930664,230.0697632,3.4734461,0,855.803665190460379,13915.303766917424582
Yenegoa,Bayelsa,129,6.399475098000000,1184856.986000000033528,706.704834,1676.593872,1.088739,108,2443.353867509219072,1389.003872329909427
Ilorin East,Kwara,82,4.537376667000000,279732.450300000025891,517.3119507,540.7423096,2.9313724,2,1671.291398340240221,4110.133742711936975
Alkaleri,Bauchi,81,10.101099114200000,530181.546800000010990,7115.163574,74.5143127,1.5277785,11,13726.633457233005174,9614.474470074066630
Omumma,Rivers,34,7.217180142000000,94001.368610000004992,195.8101959,480.0637207,3.6169686,0,227.485877238329692,2522.618040164240483
Birnin Kudu,Jigawa,51,9.597115477410000,593076.073899999959394,1450.932983,408.7549744,0.8599234,14,1026.853405760788291,1958.171693210836565
Takum,Taraba,112,9.874084473000000,347765.900100000028033,3098.182373,112.2483597,3.2205572,4,6583.739816212087135,7600.845891470366951
Esan South-East,Edo,53,6.384480000000000,229061.081600000004983,1297.513916,176.5384369,2.3137934,5,3167.696491850123039,1820.987699121359583
Ifedayo,Osun,29,4.954883333000000,36579.045239999999467,111.4619598,328.1751404,7.9280362,0,1023.732245696470613,3201.730565528310308
Ori Ire,Oyo,62,4.175103300000000,236847.991500000003725,2074.386719,114.1773529,2.6177127,12,1695.931543790980186,1467.306738775612985
Ifelodun,Kwara,120,4.775180000000000,356705.199000000022352,3304.536377,107.9440994,3.3641226,2,2174.467192135396090,6465.142512095292659
Maradun,Zamfara,57,6.233340766000000,159227.427200000005541,2650.531738,60.0737686,3.5797853,10,2627.689016155750778,10262.759943195835149
Aninri,Enugu,35,7.526123047000000,115531.461400000000140,321.4541931,359.4025574,3.0294778,0,3141.138340936909117,9015.204326930163006
