lganame,statename,Actual_Status,Predicted_Risk,Risk_Prob,Tier
Apapa,Lagos,0,1,0.44615442364199526,Tier 2: High (Priority Monitoring)
Gada,Sokoto,0,1,0.4456806658126884,Tier 2: High (Priority Monitoring)
Marte,Borno,0,1,0.44563469214801776,Tier 2: High (Priority Monitoring)
Hawul,Borno,0,1,0.44503592246474727,Tier 2: High (Priority Monitoring)
Ila,Osun,0,1,0.4442929326285396,Tier 2: High (Priority Monitoring)
Yauri,Kebbi,0,1,0.4441392376340474,Tier 2: High (Priority Monitoring)
Abadam,Borno,0,1,0.4436514060349439,Tier 2: High (Priority Monitoring)
Akwanga,Nasarawa,0,1,0.44297943429436026,Tier 2: High (Priority Monitoring)
Akwanga,Nasarawa,0,1,0.44297943429436026,Tier 2: High (Priority Monitoring)
Akwanga,Nasarawa,0,1,0.44297943429436026,Tier 2: High (Priority Monitoring)
Yamaltu/Deba,Gombe,0,1,0.4424239007864015,Tier 2: High (Priority Monitoring)
Yamaltu/Deba,Gombe,0,1,0.4424239007864015,Tier 2: High (Priority Monitoring)
Kaugama,Jigawa,0,1,0.4422417468474762,Tier 2: High (Priority Monitoring)
Kaugama,Jigawa,0,1,0.4422417468474762,Tier 2: High (Priority Monitoring)
Mbo,Akwa Ibom,0,1,0.44172038735426866,Tier 2: High (Priority Monitoring)
Mbo,Akwa Ibom,0,1,0.44172038735426866,Tier 2: High (Priority Monitoring)
Girei,Adamawa,0,1,0.4401940047000085,Tier 2: High (Priority Monitoring)
Girei,Adamawa,0,1,0.4401940047000085,Tier 2: High (Priority Monitoring)
Bagudu,Kebbi,0,1,0.4401239457536636,Tier 2: High (Priority Monitoring)
Jos North,Plateau,0,1,0.44010020490743074,Tier 2: High (Priority Monitoring)
Jos North,Plateau,0,1,0.44010020490743074,Tier 2: High (Priority Monitoring)
Kubau,Kaduna,0,1,0.4393358166297749,Tier 2: High (Priority Monitoring)
Faskari,Katsina,0,1,0.43767097200244137,Tier 2: High (Priority Monitoring)
Kala Balge,Borno,0,1,0.4376193389741377,Tier 2: High (Priority Monitoring)
Kala Balge,Borno,0,1,0.4376193389741377,Tier 2: High (Priority Monitoring)
Kala Balge,Borno,0,1,0.4376193389741377,Tier 2: High (Priority Monitoring)
Wase,Plateau,0,1,0.43508815837580683,Tier 2: High (Priority Monitoring)
Yala,Cross River,0,1,0.4347760607795154,Tier 2: High (Priority Monitoring)
Michika,Adamawa,0,1,0.4344257497739825,Tier 2: High (Priority Monitoring)
Michika,Adamawa,0,1,0.4344257497739825,Tier 2: High (Priority Monitoring)
Maiyama,Kebbi,0,1,0.4334514897427425,Tier 2: High (Priority Monitoring)
Toungo,Adamawa,0,1,0.43240066092151225,Tier 2: High (Priority Monitoring)
Ohaji/Egbema,Imo,0,1,0.4321360081030884,Tier 2: High (Priority Monitoring)
Ogo Oluwa,Oyo,0,1,0.430197995407172,Tier 2: High (Priority Monitoring)
Obafemi Owode,Ogun,0,1,0.4293941632782108,Tier 2: High (Priority Monitoring)
