lganame,statename,Actual_Status,Predicted_Risk,Risk_Probability
Argungu,Kebbi,0,1,0.3719152856516525
Argungu,Kebbi,0,1,0.3719152856516525
Ishielu,Ebonyi,0,1,0.37014955239988245
Bwari,Fct,0,1,0.36797648838550884
Gboko,Benue,0,1,0.36777129697157884
Ifedore,Ondo,0,1,0.3677522110126858
Ifedore,Ondo,0,1,0.3677522110126858
Shagamu,Ogun,0,1,0.3674132142808702
Shagamu,Ogun,0,1,0.3674132142808702
Buji,Jigawa,0,1,0.3674023169874735
Enugu North,Enugu,0,1,0.36712897101221953
Enugu North,Enugu,0,1,0.36712897101221953
Ajeromi/Ifelodun,Lagos,0,1,0.36396471007820963
Zaki,Bauchi,0,1,0.3614053806231695
Oyi,Anambra,0,1,0.36139883518951466
Kwaya Kusar,Borno,0,1,0.3607786290341264
Kwaya Kusar,Borno,0,1,0.3607786290341264
Sardauna,Taraba,0,1,0.36034814858700964
Kudan,Kaduna,0,1,0.35855801780734653
Kudan,Kaduna,0,1,0.35855801780734653
Moro,Kwara,0,1,0.357035272628387
Adavi,Kogi,0,1,0.3555610207411536
Adavi,Kogi,0,1,0.3555610207411536
Isiala Mbano,Imo,0,1,0.35508483700008964
Sumaila,Kano,0,1,0.35488215452103566
Shanono,Kano,0,1,0.35082784724345245
Izzi,Ebonyi,0,1,0.34822070513519937
Taura,Jigawa,0,1,0.347460846788462
Okehi,Kogi,0,1,0.3473353258913957
Ibadan North,Oyo,0,1,0.3455649693083495
Kabo,Kano,0,1,0.345538156727245
Kabo,Kano,0,1,0.345538156727245
Balanga,Gombe,0,1,0.3445584067018017
Balanga,Gombe,0,1,0.3445584067018017
Kauru,Kaduna,0,1,0.34423868407964675
Wamakko,Sokoto,0,1,0.34351666160397065
Irepodun,Osun,0,1,0.34163252454643633
Okpe,Delta,0,1,0.3410657630824043
Okpe,Delta,0,1,0.3410657630824043
Ganye,Adamawa,0,1,0.3379495219443839
Ganye,Adamawa,0,1,0.3379495219443839
Bunkure,Kano,0,1,0.33588208675706954
Ekiti,Kwara,0,1,0.33374879974731436
Oguta,Imo,0,1,0.33328002492108005
Oguta,Imo,0,1,0.33328002492108005
Tarka,Benue,0,1,0.33169348454749115
Takai,Kano,0,1,0.33062493277703164
Takai,Kano,0,1,0.33062493277703164
Takai,Kano,0,1,0.33062493277703164
Jega,Kebbi,0,1,0.33042297773201795
Ijebu North,Ogun,0,1,0.33006242378914896
Ibadan North West,Oyo,0,1,0.32764319799335034
Ife North,Osun,0,1,0.326898678841303
Ukwa West,Abia,0,1,0.3265970079136129
Tsanyawa,Kano,0,1,0.3249003695987806
Rano,Kano,0,1,0.3248411978190311
Rano,Kano,0,1,0.3248411978190311
Ikwerre,Rivers,0,1,0.32415908005491806
Etsako East,Edo,0,1,0.3196657317577902
Oke Ero,Kwara,0,1,0.3166304393262313
Makarfi,Kaduna,0,1,0.3164546960835436
Dawakin Tofa,Kano,0,1,0.31585933074548406
Ihiala,Anambra,0,1,0.31517890157451633
Ihiala,Anambra,0,1,0.31517890157451633
Etsako West,Edo,0,1,0.3140247268336024
Odeda,Ogun,0,1,0.3129477141591072
Odeda,Ogun,0,1,0.3129477141591072
Sokoto South,Sokoto,0,1,0.3113831299857106
Igbo-Etiti,Enugu,0,1,0.31122704938549844
Igbo-Etiti,Enugu,0,1,0.31122704938549844
Akinyele,Oyo,0,1,0.30909905915769814
Akinyele,Oyo,0,1,0.30909905915769814
Ayedade,Osun,0,1,0.30892499051234884
Lere,Kaduna,0,1,0.3085649833248462
Abakaliki,Ebonyi,0,1,0.3084078377450936
Ahoada East,Rivers,0,1,0.308312318889954
Eleme,Rivers,0,1,0.3073709734434405
Ipokia,Ogun,0,1,0.305927402353343
Bida,Niger,0,1,0.3017649316680751
Ika South,Delta,0,1,0.30066018562833113
Batagarawa,Katsina,0,1,0.30017513440574656
Asari-Toru,Rivers,0,1,0.2987326744720117
Sapele,Delta,0,1,0.2958627531713671
Ibadan South West,Oyo,0,1,0.295552378298533
Ibadan South West,Oyo,0,1,0.295552378298533
Dutsi,Katsina,0,1,0.29521346608987187
Gokana,Rivers,0,1,0.29408717614237445
Ife Central,Osun,0,1,0.2929927420840979
Ife Central,Osun,0,1,0.2929927420840979
Ilorin East,Kwara,0,1,0.2926735026821092
Ifo,Ogun,0,1,0.29012015825419746
Ifo,Ogun,0,1,0.29012015825419746
Ogbomosho South,Oyo,0,1,0.2882595103000271
Ogbomosho South,Oyo,0,1,0.2882595103000271
Owerri Municipal,Imo,0,1,0.2881531931120681
Alimosho,Lagos,0,1,0.2878039230596385
Alimosho,Lagos,0,1,0.2878039230596385
Ona Ara,Oyo,0,1,0.286999812817381
Ona Ara,Oyo,0,1,0.286999812817381
Ona Ara,Oyo,0,1,0.286999812817381
Rogo,Kano,0,1,0.28689144428943586
Mashi,Katsina,0,1,0.28665227355004436
Ukwuani,Delta,0,1,0.2850875718109949
Ibaji,Kogi,0,1,0.28227018988978064
Ibaji,Kogi,0,1,0.28227018988978064
Enugu East,Enugu,0,1,0.2795614590628339
Babura,Jigawa,0,1,0.27888230217431004
Kura,Kano,0,1,0.2781246583740288
Kura,Kano,0,1,0.2781246583740288
Irele,Ondo,0,1,0.2759915917605391
Ajingi,Kano,0,1,0.2755009618674436
Misau,Bauchi,0,1,0.2735659314175431
Misau,Bauchi,0,1,0.2735659314175431
Kaltungo,Gombe,0,1,0.2732764072931837
Jakusko,Yobe,0,1,0.2725060428089208
Jakusko,Yobe,0,1,0.2725060428089208
Kanam,Plateau,0,1,0.2695189602596875
Bomadi,Delta,0,1,0.2647284040492226
Bomadi,Delta,0,1,0.2647284040492226
Gwale,Kano,0,1,0.264045578636046
Gwale,Kano,0,1,0.264045578636046
Orsu,Imo,0,1,0.26258390302118534
Orsu,Imo,0,1,0.26258390302118534
Itu,Akwa Ibom,0,1,0.2621268737248767
Itu,Akwa Ibom,0,1,0.2621268737248767
Itu,Akwa Ibom,0,1,0.2621268737248767
Garun Malam,Kano,0,1,0.2596973744296439
Dukku,Gombe,0,1,0.25860658971685746
Gombe,Gombe,0,1,0.2583918118064447
Kiyawa,Jigawa,0,1,0.2575059645592352
Nnewi South,Anambra,0,1,0.25181573297351806
Badagry,Lagos,0,1,0.2517201244566627
Badagry,Lagos,0,1,0.2517201244566627
Badagry,Lagos,0,1,0.2517201244566627
Badagry,Lagos,0,1,0.2517201244566627
Ankpa,Kogi,0,1,0.2497015940362907
Ikwuano,Abia,0,1,0.2486169562965577
Kagarko,Kaduna,0,1,0.24844114036227527
Ovia South-West,Edo,0,1,0.24830995664427705
Ovia South-West,Edo,0,1,0.24830995664427705
Mani,Katsina,0,1,0.2474444795486521
Yewa North,Ogun,0,1,0.24413260399357634
Ukum,Benue,0,1,0.24330089562591783
Ukum,Benue,0,1,0.24330089562591783
Oru West,Imo,0,1,0.2411486443245461
Oru West,Imo,0,1,0.2411486443245461
Iwajowa,Oyo,0,1,0.24033710335733766
Awka South,Anambra,0,1,0.23837164705009173
Awka South,Anambra,0,1,0.23837164705009173
Port-Harcourt,Rivers,0,1,0.23800870649815267
Khana,Rivers,0,1,0.2368783498292194
Egor,Edo,0,1,0.2368395272547037
Egor,Edo,0,1,0.2368395272547037
Oron,Akwa Ibom,0,1,0.23633859861641468
Isu,Imo,0,1,0.23479857814376812
Isu,Imo,0,1,0.23479857814376812
Chanchaga,Niger,0,1,0.2336719477830417
Yusufari,Yobe,0,1,0.23310845336088157
Yusufari,Yobe,0,1,0.23310845336088157
Anaocha,Anambra,0,1,0.23122303535204466
Anaocha,Anambra,0,1,0.23122303535204466
Dekina,Kogi,0,1,0.23116095416311555
Dekina,Kogi,0,1,0.23116095416311555
Dekina,Kogi,0,1,0.23116095416311555
Dekina,Kogi,0,1,0.23116095416311555
Osisioma Ngwa,Abia,0,1,0.23054686173859235
Sandamu,Katsina,0,1,0.23047542414489683
Katagum,Bauchi,0,1,0.22948093425071955
Orlu,Imo,0,1,0.22747431182751435
Orlu,Imo,0,1,0.22747431182751435
Orlu,Imo,0,1,0.22747431182751435
Keffi,Nasarawa,0,1,0.22431034618797072
Keffi,Nasarawa,0,1,0.22431034618797072
Albasu,Kano,0,1,0.221887866850574
Kuje,Fct,0,1,0.22170989410700673
Kuje,Fct,0,1,0.22170989410700673
Ile Oluji/Okeigbo,Ondo,0,1,0.22049277805126927
Ile Oluji/Okeigbo,Ondo,0,1,0.22049277805126927
Ile Oluji/Okeigbo,Ondo,0,1,0.22049277805126927
Madobi,Kano,0,1,0.22012810244602843
Surulere,Oyo,0,1,0.21836320071965926
Surulere,Oyo,0,1,0.21836320071965926
Kajola,Oyo,0,1,0.21492137071989453
Kajola,Oyo,0,1,0.21492137071989453
Gwaram,Jigawa,0,1,0.21412250259739887
Kurfi,Katsina,0,1,0.21303231016975335
Yewa South,Ogun,0,1,0.2123713038160736
Uvwie,Delta,0,1,0.21233550263251563
Essien Udim,Akwa Ibom,0,1,0.2116701888598467
Nwangele,Imo,0,1,0.21163169267839257
Tsafe,Zamfara,0,1,0.20890906418092875
Kaduna South,Kaduna,0,1,0.20802446433802746
Kaduna South,Kaduna,0,1,0.20802446433802746
Kaduna South,Kaduna,0,1,0.20802446433802746
Odo Otin,Osun,0,1,0.2075713565152952
Zangon Kataf,Kaduna,0,1,0.20697946691894042
Musawa,Katsina,0,1,0.2058043309158725
Kano Municipal,Kano,0,1,0.20571912259916159
Iwo,Osun,0,1,0.20513643328666517
Gaya,Kano,0,1,0.20440496273709435
Gaya,Kano,0,1,0.20440496273709435
Shomolu,Lagos,0,1,0.20063845841129224
